stop_id,stop_name,stop_lat,stop_lon,location_type
740001353,Ekerö Träkvista,59.275709,17.784808,
740001357,Tyresö Brevik Mossvägen,59.213307,18.379620,
740001371,Vendelsö Sågen,59.199117,18.190362,
740001383,Vårsta centrum,59.165261,17.797362,
740001389,Norrviken brygga,59.813150,18.984329,
740001390,Vagnsunda,59.579270,18.782777,
740001394,Årsta brygga,59.082188,18.173398,
740001396,Älmsta busstation,59.970359,18.807023,
740001492,Rådmansö kyrka,59.751575,18.948444,
740001508,Berga,59.080002,18.132894,
740001541,Stockholm Citytermin Kungsbron,59.333166,18.054471,
740001617,Stockholm City station,59.331141,18.059434,
740001618,Stockholm Odenplan station,59.342888,18.049998,
740004046,Liljeholmen T-bana,59.310706,18.023130,
740004383,Stockholm C Klarabergsviadukte,59.330742,18.057580,
740007072,Knutby Boställsvägen,59.914132,18.274268,
740007081,Tarv,59.922849,18.280138,
740007088,Åsby (Knutby),59.928020,18.283118,
740007177,Märsta Nymärstagatan,59.619733,17.854670,
740007214,Söderskogen norra,59.680894,17.594524,
740007221,Söderskogens vägskäl,59.664806,17.554538,
740007274,Björkö (Knutby),59.933194,18.280623,
740007285,Vreta,59.649620,17.539220,
740007855,Graneberg (Bålsta),59.584202,17.504518,
740007859,Bålsta Futurum,59.557268,17.502454,
740007860,Bålsta Helgövägen/Aronsborg,59.553990,17.525885,
740007861,Ekedal (Bro) (Upplands Bro),59.583038,17.576156,
740007865,Måttan västra,59.666182,17.559028,
740007874,Bålsta Göksvik vägskäl,59.537706,17.515437,
740007875,Bålsta Granelund,59.540854,17.519150,
740007876,Bålsta Kalmar kyrka,59.543612,17.522456,
740007877,Bålsta Furuhäll vägskäl,59.543497,17.513344,
740007882,Bålsta Fånäs,59.556540,17.545614,
740007884,Bålsta Dyarne,59.557561,17.538998,
740007885,Bålsta Smultronstället,59.560577,17.508989,
740007886,Bålsta Kalmar Livs,59.561193,17.541396,
740007887,Bålsta Minigolfbanan,59.562968,17.511499,
740007888,Bålsta Kraftleden,59.563931,17.507867,
740007889,Bålsta Draget,59.561156,17.552928,
740007890,Bålsta Mansängen,59.566182,17.534132,
740007892,Bålsta Gillmarken,59.569668,17.503061,
740007894,Bålsta Kyrkcentrum,59.572588,17.507720,
740007895,Bålsta Lilla Hagalund,59.572586,17.521595,
740007898,Bålsta Gransäterskolan,59.582485,17.508132,
740007901,Grans gård,59.595068,17.510592,
740007905,Yttergrans kyrka,59.601764,17.507247,
740007910,Ekilla,59.610765,17.500615,
740007914,Sjönäs,59.630597,17.506932,
740007916,Plantskolan,59.632888,17.514423,
740007920,Rölunda gård,59.644871,17.533122,
740007926,Skadevi vägskäl,59.677491,17.536327,
740007927,Skokloster Idealbyn,59.685388,17.604033,
740007928,Lugnet (Skokloster),59.695894,17.536460,
740007940,Viksjölundsvägen,59.661770,17.553297,
740008068,Skålsta,59.691210,17.734636,
740008070,Gurresta,59.681965,17.734442,
740008071,Fläskbackens vägskäl,59.690136,17.739298,
740008072,Underberga vsk.,59.678131,17.736317,
740008073,Braberg vägskäl,59.673638,17.739591,
740008074,Bodarna,59.669518,17.746826,
740008323,Måttan östra,59.665447,17.565662,
740008458,Joneberg,59.938099,18.121826,
740008533,Harbacken,59.951477,18.284922,
740008534,Tunnbindartorp,59.965780,18.283627,
740008535,Stentorpet,59.973389,18.280093,
740008536,Rungarns vägskäl,59.981157,18.276713,
740008537,Hallstaviks vägskäl (Bladåker),59.990322,18.268219,
740008538,Bladåkers by,59.999805,18.262469,
740008543,Burvik,59.896807,18.369430,
740008544,Sotter,59.900686,18.341591,
740008554,Hagen,59.693432,17.773130,
740008557,Solvalla,59.950463,18.143276,
740008565,Marielund (Solvalla),59.961380,18.159016,
740008618,Långmon,59.969502,18.281935,
740008621,Tallhed,59.915373,18.100715,
740008622,Finndalen vägskäl,59.929572,18.115507,
740008623,Rycklinge vägskäl,59.965837,18.110008,
740008624,Täby affär,59.975634,18.173375,
740008625,Burviks fritidsområde,59.898401,18.377024,
740008626,Granlund,59.904451,18.332618,
740008627,Skogstorpet,59.906189,18.325312,
740008628,Knutby Solstorp,59.908341,18.298583,
740008629,Knutby Prästgården,59.909682,18.276476,
740008635,Knutby Knutbygården,59.903105,18.255500,
740008647,Eneby (Almunge),59.886552,18.125688,
740008648,Seglinge,59.877708,18.122589,
740008653,Ala,59.691296,17.713434,
740008655,Norrgården (Faringe),59.952997,18.148700,
740008659,Vallby (Solvalla),59.958182,18.154026,
740008668,Täby garage (Faringe),59.964446,18.163299,
740008670,Täby gård,59.966130,18.166589,
740008672,Edshammar (Faringe),59.960321,18.104987,
740008675,Fridhem,59.956941,18.110894,
740008757,Södertälje Centrifugen,59.199162,17.624904,
740008759,Stora Kalholmen brygga,59.455697,18.822909,
740008760,Siaröfortet Kyrkogårdsön brygg,59.555780,18.623018,
740008916,Blomsteräng,59.866350,18.138334,
740008928,Rånäs vägskäl (v. 282),59.856996,18.102405,
740008933,Lilla Söderby,59.860967,18.110498,
740008935,Gränby skola (Almunge),59.864367,18.124518,
740008941,Sågen (Almunge),59.869234,18.149858,
740008951,Glugga,59.880037,18.172931,
740008959,Sigelstorp,59.888266,18.198586,
740008967,Hemåla vägskäl,59.892429,18.227747,
740008971,Bergsgården,59.897519,18.243935,
740008978,Gränsta,59.904839,18.253054,
740008979,Olandsån (Knutby),59.906683,18.238797,
740008984,Knutby Björkgården,59.907459,18.261864,
740008985,Knutby Affären,59.908837,18.264004,
740008987,Ösby vägskäl,59.910468,18.235158,
740008988,Rickeby (Knutby),59.912090,18.226533,
740008994,Ekeby vägskäl (Knutby),59.914321,18.216520,
740008996,Moga vägskäl,59.919255,18.101627,
740008999,Kvarnboda vägskäl,59.919075,18.205490,
740009003,Långörn vägskäl,59.922675,18.194159,
740009007,Stamvägen,59.926424,18.189455,
740009013,Bärby Södra (Faringe),59.934381,18.121370,
740009016,Gustavsberg,59.934144,18.180615,
740009027,Blockhus vägskäl,59.939960,18.173783,
740009042,Bärby Norra (Faringe),59.944701,18.117096,
740009081,Rycklingsboda,59.970726,18.131753,
740009101,Lundby vägskäl (805),59.980447,18.188339,
740009108,Storfjällen,59.983616,18.226396,
740009112,Haglunda,59.987417,18.256407,
740009185,Finsta station,59.737245,18.496899,
740010080,Beateberg,59.658336,18.420717,
740010088,Bergby (Malsta),59.764771,18.609897,
740010099,Smara,59.885456,18.419676,
740010106,Smara vändplan,59.878826,18.410312,
740010232,Danderyds sjukhus T-bana,59.391904,18.041372,
740010249,Drottningdal,59.838066,18.741690,
740010253,Marsbacken,59.841024,18.951789,
740010254,Dyvik bruk,59.528351,18.510245,
740010495,Rimbo Vallby kvarn,59.745526,18.377616,
740010496,Rösa,59.732051,18.584173,
740010497,Simlom vägskäl,59.732723,18.602000,
740010499,Gåsvik handel,59.937783,18.836799,
740010500,Nodsta västra,59.735920,18.622619,
740010502,Nodsta by,59.738049,18.635536,
740010504,Nodsta,59.739342,18.642638,
740010506,Sundtorpet,59.741438,18.650378,
740010508,Frötuna kyrka,59.742664,18.676586,
740010511,Frötuna vägskäl,59.740821,18.686516,
740010512,Brottby trafikplats,59.560271,18.232102,
740010514,Väsbylund,59.684082,18.366617,
740010515,Ununge,59.926331,18.581533,
740010519,Sigtuna Mälargården,59.623296,17.694564,
740010520,Österby,59.658818,17.689410,
740010525,Venngarnsvägen,59.648967,17.701949,
740010528,Arlanda Flygskolan,59.640681,17.940791,
740010531,Arlanda Lindskrog,59.648196,17.966582,
740010537,Arlanda Gränsgatan,59.635968,17.929693,
740010538,Arlanda Brovägen,59.644016,17.934476,
740010546,Arlanda Driftvägen,59.648162,17.941799,
740010547,Arlanda Halmsjön,59.653982,17.954358,
740010552,Sigtuna Stora Brännbo,59.620347,17.711643,
740010565,Bålsta Infra Park,59.559976,17.537016,
740010689,Hölö station,59.025315,17.535431,
740010777,Kilen (Finsta vägskäl),59.726726,18.485614,
740010858,Kålsta,59.625309,17.603107,
740010862,Sigtuna Kämpasten,59.622036,17.686039,
740010863,Sigtuna Lilla Sjudargården,59.617084,17.693879,
740010865,Sigtuna Stora Sjudargården,59.617679,17.689322,
740010866,Sigtuna folkhögskola,59.615094,17.698055,
740010869,Sigtuna Sigtunastiftelsen,59.614632,17.710735,
740010872,Sigtuna Doktorsgården,59.615014,17.714052,
740010874,Pershagen Pershagsvägen,59.155113,17.646480,
740010875,Rosenhill,59.646061,17.621775,
740010879,Erikssund,59.641553,17.608888,
740010889,Märsta Lyckostigen,59.622659,17.836326,
740010900,Rävsta gård,59.627603,17.774684,
740010902,Björkbacka,59.625026,17.753705,
740010903,Vibyvägen norra,59.632223,17.716748,
740010907,Söderhall trafikplats södra,59.635448,18.332122,
740010910,Kristinelund,59.660472,18.341654,
740010917,Näs gård,59.696736,18.369804,
740010921,Södertälje centrum västra,59.191190,17.626143,
740010938,Rimbo Industrivägen,59.741285,18.369961,
740010939,Rimbo kyrka,59.748655,18.384317,
740010947,Stockholm Nationalmuseum,59.328599,18.077049,
740010970,Sättraby södra,59.827999,18.441322,
740010971,Sättraby vägskäl,59.841417,18.442169,
740010973,Sättra missionshus,59.850555,18.445498,
740010984,Edsbro kyrka,59.894834,18.491015,
740010986,Edsbro norra,59.898271,18.502161,
740010991,Kragsta,59.900737,18.551900,
740011004,Ropsten,59.901952,18.569807,
740011009,Ununge kyrka,59.928132,18.586873,
740011041,Norrtälje Väster Knutby,59.764939,18.691283,
740011042,Norrtälje Vingelebacke,59.770050,18.682678,
740011043,Malsta vägskäl (Norrtälje),59.775547,18.672411,
740011047,Marum brygga,59.850416,18.995223,
740011055,Norra Nånö (Norrtälje),59.786184,18.668156,
